종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드_x,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2023.03),추정PERlEPS,PBRlBPS (2023.03),배당수익률,동일업종 PER,동일업종 등락률,종목코드_y,배당수익률l2022.12,PERlEPS(2022.12),PBRlBPS (2022.12),PERlEPS(2023.06),PBRlBPS (2023.06),PERlEPS(2023.05),PBRlBPS (2023.05),배당수익률l2022.11
지놈앤컴퍼니 *,16140.0,2440.0,+17.81%,16440.0,16500.0,917537.0,14801.0,16343.0,23-08-21,지놈앤컴퍼니,314130,,,,,,,,,,,,,,,,,"2,292  억원",코스닥 369위,14102521,500원  l  1주,14102521,104176,0.74%,N/A  l  N/A,"32,500  l  12,590","N/A  l  -3,483원",N/A  l  N/A,"2.91배  l  5,584원",,88.07배,-0.14%,314130,,,,,,,,
이수앱지스 *,7560.0,750.0,+11.01%,7290.0,7300.0,679560.0,5004.0,272086.0,23-08-21,이수앱지스,086890,171.0,16.0,-5.0,9.36,-2.92,,,,,-15.0,-433.37,,,,,,"2,485  억원",코스닥 335위,33182668,500원  l  1주,33182668,557515,1.68%,N/A  l  N/A,"8,220  l  4,950",N/A  l  -198원,N/A  l  N/A,"4.16배  l  1,800원",,88.07배,-0.14%,086890,,,,,,,,
카이노스메드 *,4210.0,390.0,+10.21%,4235.0,4245.0,615228.0,2635.0,43792.0,23-08-21,카이노스메드,284620,,,,,,,,,,,,,,,,,"1,171  억원",코스닥 732위,27922396,500원  l  1주,27922396,951792,3.41%,N/A  l  N/A,"7,500  l  3,020",N/A  l  -592원,N/A  l  N/A,5.06배  l  829원,,88.07배,-0.14%,284620,,,,,,,,
대봉엘에스 *,11460.0,950.0,+9.04%,11540.0,11590.0,510039.0,5689.0,376893.0,23-08-21,대봉엘에스,078140,,,,,,,,,,,,,,,,,"1,273  억원",코스닥 672위,11086579,500원  l  1주,11086579,203700,1.84%,N/A  l  N/A,"14,950  l  6,910",16.01배  l  717원,N/A  l  N/A,"1.06배  l  10,797원",,88.07배,-0.21%,078140,0.44%,,,,,,,
샤페론 *,4520.0,355.0,+8.52%,4510.0,4520.0,848817.0,3778.0,416766.0,23-08-21,샤페론,378800,,,,,,,,,,,,,,,,,"1,042  억원",코스닥 805위,23071031,500원  l  1주,23071031,86998,0.38%,N/A  l  N/A,"11,600  l  3,740",,N/A  l  N/A,,,88.07배,-0.14%,378800,,N/A  l  -532원,"3.64배  l  1,239원",,,,,
비엘헬스케어,2095.0,135.0,+6.89%,1935.0,2070.0,1.0,2.0,102.0,23-08-21,비엘헬스케어,086220,,,,,,,,,,,,,,,,,478  억원,코스닥 1335위,15000000,500원  l  1주,15000000,200833,1.34%,N/A  l  N/A,"6,750  l  2,825",N/A  l  -301원,N/A  l  N/A,"0.92배  l  3,452원",,88.07배,-0.14%,114450,,,,,,,,
플럼라인생명과학,7770.0,490.0,+6.73%,7680.0,7790.0,921.0,6868.0,128.0,23-08-21,플럼라인생명과학,222670,1611.0,190.0,,11.79,,,,,,,,,,,,,"3,349  억원",코스피 446위,11569113,500원  l  1주,11569113,1048603,9.06%,"4.00매수  l  40,000","35,900  l  26,000","12.61배  l  2,296원",N/A  l  N/A,"0.75배  l  38,379원",,88.07배,-0.21%,008490,1.38%,,,,,,,
그린생명과학 *,3200.0,180.0,+5.96%,3215.0,3235.0,55378.0,178.0,14624.0,23-08-21,그린생명과학,114450,,,,,,,,,,,,,,,,,979  억원,코스피 865위,15846788,500원  l  1주,15846788,538183,3.40%,N/A  l  N/A,"8,600  l  5,280",7.15배  l  864원,N/A  l  N/A,"0.46배  l  13,445원",,88.07배,-0.14%,004720,,,,,,,,
서흥,29000.0,1600.0,+5.84%,28750.0,28800.0,29989.0,848.0,10056.0,23-08-21,서흥,008490,,,,,,,,,,,,,,,,,"1,627  억원",코스닥 536위,26676162,500원  l  1주,26676162,0,0.00%,N/A  l  N/A,"7,730  l  4,100",,N/A  l  N/A,,,88.07배,-0.14%,261780,,,,N/A  l  -174원,"5.01배  l  1,217원",,,
팜젠사이언스,6210.0,320.0,+5.43%,6180.0,6190.0,136908.0,843.0,114954.0,23-08-21,팜젠사이언스,004720,,,,,,,,,,,,,,,,,"3,494  억원",코스닥 218위,49069269,100원  l  1주,49069269,397532,0.81%,N/A  l  N/A,"11,150  l  5,180",28.59배  l  249원,N/A  l  N/A,"3.63배  l  1,962원",,88.07배,-0.14%,307750,,,,,,,,
차백신연구소 *,6090.0,300.0,+5.18%,6180.0,6190.0,9283266.0,57857.0,8942782.0,23-08-21,차백신연구소,261780,,,,,,,,,,,,,,,,,"1,563  억원",코스닥 562위,19374181,500원  l  1주,19374181,113004,0.58%,N/A  l  N/A,"12,500  l  5,890","N/A  l  -1,388원",N/A  l  N/A,24.09배  l  335원,,88.07배,-0.21%,203400,,,,,,,,
국전약품 *,7120.0,330.0,+4.86%,7140.0,7150.0,1874828.0,13520.0,492731.0,23-08-21,국전약품,307750,,,,,,,,,,,,,,,,,"1,337  억원",코스닥 641위,66532826,500원  l  1주,66532826,1240681,1.86%,N/A  l  N/A,"3,270  l  1,840",N/A  l  -105원,N/A  l  N/A,"0.76배  l  2,658원",,88.07배,-0.14%,061250,,,,,,,,
에이비온 *,8120.0,350.0,+4.50%,8100.0,8120.0,42766.0,342.0,53210.0,23-08-21,에이비온,203400,2330.0,90.0,,3.86,,,,,,,,,,,,,"2,730  억원",코스피 512위,5009861,"2,500원  l  1주",5009861,224729,4.49%,"4.00매수  l  63,000","62,500  l  45,400",,N/A  l  N/A,,,88.07배,-0.14%,001630,2.57%,,,"11.06배  l  4,927원","0.49배  l  112,330원",,,
바스칸바이오제약,6770.0,280.0,+4.31%,5910.0,6000.0,1.0,6.0,6.0,23-08-21,바스칸바이오제약,354390,,,,,,,,,,,,,,,,,756  억원,코스닥 1046위,15170500,500원  l  1주,15170500,113544,0.75%,N/A  l  N/A,"5,960  l  3,860",16.13배  l  309원,N/A  l  N/A,"1.27배  l  3,934원",,88.07배,-0.14%,002800,1.00%,,,,,,,
화일약품 *,1997.0,82.0,+4.28%,2000.0,2005.0,523770.0,1046.0,205935.0,23-08-21,화일약품,061250,,,,,,,,,,,,,,,,,787  억원,코스닥 1015위,5392115,500원  l  1주,5392115,10915,0.20%,N/A  l  N/A,"29,350  l  13,660",N/A  l  -141원,N/A  l  N/A,"0.72배  l  20,219원",,88.07배,-0.14%,239610,,,,,,,,
종근당홀딩스,54500.0,1900.0,+3.61%,54300.0,54400.0,5335.0,287.0,5112.0,23-08-21,종근당홀딩스,001630,,,,,,,,,,,,,,,,,"1,552  억원",코스닥 566위,48427177,500원  l  1주,48427177,649696,1.34%,N/A  l  N/A,"4,211  l  2,625",145.68배  l  22원,N/A  l  N/A,"2.76배  l  1,163원",,88.07배,-0.21%,067290,,,,,,,,
신신제약 *,5010.0,170.0,+3.51%,4975.0,4985.0,40593.0,199.0,37735.0,23-08-21,신신제약,002800,,,,,,,,,,,,,,,,,990  억원,코스닥 838위,15327021,500원  l  1주,15327021,180744,1.18%,N/A  l  N/A,"7,800  l  4,965",,N/A  l  N/A,,,88.07배,-0.21%,260660,2.01%,,,9.95배  l  649원,"1.03배  l  6,255원",,,
에이치엘사이언스 *,14600.0,480.0,+3.40%,14490.0,14600.0,5125.0,74.0,7013.0,23-08-21,에이치엘사이언스,239610,767.0,73.0,,9.52,,,,,,357.0,29.22,,,,,,"2,009  억원",코스닥 434위,18754848,500원  l  1주,18754848,436789,2.33%,"4.00매수  l  16,000","17,050  l  7,470",,N/A  l  N/A,,,88.07배,-0.14%,194700,1.40%,,,11.65배  l  919원,"1.00배  l  10,675원",,,
JW신약 *,3220.0,105.0,+3.37%,3195.0,3200.0,792047.0,2537.0,318166.0,23-08-21,JW신약,067290,602.0,45.0,39.0,7.45,6.53,,,,,,,,,,,,"1조  5,404  억원",코스닥 29위,18808775,500원  l  1주,18808775,453177,2.41%,"4.00매수  l  118,800","101,200  l  69,400","77.48배  l  1,057원","64.00배  l  1,278원","4.61배  l  17,751원",,88.07배,-0.14%,237690,0.61%,,,,,,,
알리코제약 *,6470.0,200.0,+3.19%,6440.0,6450.0,2474170.0,17191.0,26113.0,23-08-21,알리코제약,260660,,,,,,,,,,,,,,,,,638  억원,코스피 1032위,2200000,500원  l  1주,2200000,2446,0.11%,N/A  l  N/A,"71,000  l  21,900",N/A  l  -672원,N/A  l  N/A,"4.60배  l  6,310원",,88.07배,-0.14%,019175,,,,,,,,
노바렉스 *,10760.0,320.0,+3.07%,10720.0,10740.0,552005.0,5900.0,599912.0,23-08-21,노바렉스,194700,3427.0,351.0,232.0,10.23,6.78,,,,,,,,,,,,"1조  2,444  억원",코스피 195위,11586575,"2,500원  l  1주",11586575,1085828,9.37%,"4.00매수  l  160,000","179,000  l  88,300","28.26배  l  3,800원","14.00배  l  7,933원","1.86배  l  57,795원",,88.07배,-0.14%,069620,0.56%,,,,,,,
에스티팜 *,81900.0,2400.0,+3.02%,81900.0,82000.0,102436.0,8381.0,59488.0,23-08-21,에스티팜,237690,,,,,,,,,,,,,,,,,"1,874  억원",코스닥 458위,8405556,500원  l  1주,8405556,35915,0.43%,N/A  l  N/A,"26,150  l  8,440",,N/A  l  N/A,,,88.07배,-0.14%,389470,,"N/A  l  -1,457원","6.86배  l  3,252원",,,,,
신풍제약우,29000.0,800.0,+2.84%,28950.0,29000.0,2957.0,84.0,3217.0,23-08-21,신풍제약우,019175,,,,,,,,,,,,,,,,,"3,552  억원",코스닥 210위,24181020,500원  l  1주,24181020,1010801,4.18%,N/A  l  N/A,"14,310  l  5,930",N/A  l  -71원,N/A  l  N/A,"3.72배  l  3,944원",,88.07배,-0.14%,060590,,,,,,,,
대웅제약,107400.0,2900.0,+2.78%,107200.0,107300.0,28998.0,3109.0,30587.0,23-08-21,대웅제약,069620,,,,,,,,,,,,,,,,,301  억원,코스닥 1532위,57163194,500원  l  1주,57163194,744713,1.30%,N/A  l  N/A,"3,080  l  510",N/A  l  -855원,N/A  l  N/A,"0.37배  l  1,417원",,88.07배,-0.14%,072520,,,,,,,,
인벤티지랩 *,22300.0,600.0,+2.76%,22650.0,22700.0,1200288.0,26940.0,1064792.0,23-08-21,인벤티지랩,389470,,,,,,,,,,,,,,,,,767  억원,코스닥 1040위,11000000,500원  l  1주,11000000,139691,1.27%,N/A  l  N/A,"8,860  l  5,870","6.06배  l  1,151원",N/A  l  N/A,"0.87배  l  8,022원",,88.07배,-0.14%,014570,2.58%,,,,,,,
씨티씨바이오 *,14700.0,390.0,+2.73%,14990.0,15000.0,6656248.0,97522.0,9670210.0,23-08-21,씨티씨바이오,060590,,,,,,,,,,,,,,,,,"1,812  억원",코스피 648위,23906860,500원  l  1주,23906860,541951,2.27%,N/A  l  N/A,"10,950  l  4,875",,N/A  l  N/A,,,88.07배,-0.14%,214390,0.66%,,,109.86배  l  69원,"1.28배  l  5,942원",,,
제넨바이오 *,527.0,13.0,+2.53%,528.0,530.0,178576.0,94.0,245497.0,23-08-21,제넨바이오,072520,,,,,,,,,,,,,,,,,231  억원,코스피 1350위,845990,500원  l  1주,845990,473,0.06%,N/A  l  N/A,"54,200  l  26,350",148.10배  l  184원,N/A  l  N/A,"1.23배  l  22,185원",,88.07배,-0.14%,005257,1.10%,,,,,,,
퓨쳐메디신,8200.0,200.0,+2.50%,8100.0,8200.0,11738.0,91767.0,8163.0,23-08-21,퓨쳐메디신,341170,,,,,,,,,,,,,,,,,"2조  4,625  억원",코스피 119위,69956940,500원  l  1주,69956940,1535099,2.19%,N/A  l  N/A,"47,750  l  28,518",,N/A  l  N/A,,,88.07배,-0.08%,008930,0.56%,,,"28.00배  l  1,257원","3.14배  l  11,209원",,,
고려제약 *,6990.0,170.0,+2.49%,6810.0,6830.0,211481.0,1438.0,2752782.0,23-08-21,고려제약,014570,,,,,,,,,,,,,,,,,436  억원,코스닥 1383위,34091942,500원  l  1주,34091942,484310,1.42%,N/A  l  N/A,"2,180  l  1,090",N/A  l  -579원,N/A  l  N/A,1.56배  l  818원,,88.07배,-0.21%,044480,,,,,,,,
경보제약,7540.0,180.0,+2.45%,7530.0,7550.0,48931.0,365.0,30165.0,23-08-21,경보제약,214390,,,,,,,,,,,,,,,,,414  억원,코스닥 1414위,7903728,500원  l  1주,7903728,28942,0.37%,N/A  l  N/A,"9,100  l  4,350",N/A  l  -58원,N/A  l  N/A,"0.81배  l  6,443원",,88.07배,-0.21%,080720,,,,,,,,
녹십자홀딩스2우,27250.0,600.0,+2.25%,27000.0,27200.0,151.0,4.0,93.0,23-08-21,녹십자홀딩스2우,005257,,,,,,,,,,,,,,,,,594  억원,코스닥 1210위,12256040,500원  l  1주,12256040,493436,4.03%,N/A  l  N/A,"15,874  l  4,715","N/A  l  -1,721원",N/A  l  N/A,"3.03배  l  1,602원",,88.07배,-0.14%,298060,,,,,,,,
한미사이언스,35300.0,750.0,+2.17%,35150.0,35200.0,214125.0,7599.0,288916.0,23-08-21,한미사이언스,008930,,,,,,,,,,,,,,,,,"1,465  억원",코스닥 597위,18616650,500원  l  1주,18616650,370902,1.99%,N/A  l  N/A,"13,350  l  6,650",,N/A  l  N/A,,,88.07배,-0.14%,067080,1.91%,,,95.98배  l  82원,"1.78배  l  4,411원",,,
블레이드 Ent *,1286.0,27.0,+2.14%,1278.0,1280.0,51778.0,66.0,41378.0,23-08-21,블레이드 Ent,044480,,,,,,,,,,,,,,,,,"9,243  억원",코스닥 67위,101800530,500원  l  1주,101800530,4367013,4.29%,N/A  l  N/A,"17,304  l  8,680",N/A  l  -299원,N/A  l  N/A,"3.72배  l  2,442원",,88.07배,-0.14%,067630,,,,,,,,
한국유니온제약 *,5240.0,110.0,+2.14%,5230.0,5240.0,23810.0,123.0,15810.0,23-08-21,한국유니온제약,080720,4367.0,215.0,176.0,4.92,4.04,,,,,1622.0,68.21,,,,,,"1조  3,825  억원",코스피 180위,11686538,"5,000원  l  1주",11686538,2150275,18.40%,"4.00매수  l  152,778","166,500  l  103,100","37.76배  l  3,133원","48.00배  l  2,474원","1.05배  l  113,094원",,88.07배,-0.14%,006280,1.48%,,,,,,,
에스씨엠생명과학 *,4855.0,100.0,+2.10%,4840.0,4865.0,33310.0,160.0,21744.0,23-08-21,에스씨엠생명과학,298060,,,,,,,,,,,,,,,,,"3조  9,195  억원",코스닥 7위,128929651,500원  l  1주,128929651,16186203,12.55%,N/A  l  N/A,"51,574  l  25,991",,N/A  l  N/A,,,88.07배,-0.14%,028300,,,,N/A  l  -944원,"6.21배  l  4,893원",,,
대화제약 *,7870.0,160.0,+2.08%,7880.0,7920.0,29905.0,235.0,33450.0,23-08-21,대화제약,067080,,,,,,,,,,,,,,,,,956  억원,코스닥 858위,31448597,500원  l  1주,31448597,145301,0.46%,N/A  l  N/A,"6,800  l  2,405",N/A  l  -656원,N/A  l  N/A,5.29배  l  575원,,88.07배,-0.14%,142760,,,,,,,,
HLB생명과학 *,9070.0,170.0,+1.91%,9080.0,9100.0,440611.0,4049.0,359965.0,23-08-21,HLB생명과학,067630,,,,,,,,,,,,,,,,,"1,326  억원",코스피 760위,32000000,500원  l  1주,32000000,959642,3.00%,N/A  l  N/A,"5,820  l  3,630",,N/A  l  N/A,,,88.07배,-0.21%,004310,,,,,,125.61배  l  33원,"1.28배  l  3,245원",0.72%
녹십자,118300.0,2200.0,+1.89%,118700.0,118800.0,24722.0,2934.0,30238.0,23-08-21,녹십자,006280,,,,,,,,,,,,,,,,,"1,184  억원",코스피 804위,11540400,"1,000원  l  1주",11540400,126567,1.10%,N/A  l  N/A,"41,700  l  8,200",,N/A  l  N/A,,,88.07배,-0.14%,000230,0.98%,,,"N/A  l  -7,127원",57.00배  l  180원,,,
HLB *,30400.0,500.0,+1.67%,30350.0,30400.0,839596.0,25682.0,859384.0,23-08-21,HLB,028300,393.0,106.0,98.0,26.97,24.81,,,,,887.0,44.71,,,,,,"4,401  억원",코스닥 165위,10935294,500원  l  1주,10935294,827865,7.57%,"4.00매수  l  61,000","44,500  l  17,850",,N/A  l  N/A,,,88.07배,-0.14%,200670,1.24%,,,"21.86배  l  1,841원","2.30배  l  17,538원",,,
비엘 *,3040.0,50.0,+1.67%,3050.0,3065.0,146053.0,451.0,167753.0,23-08-21,비엘,142760,,,,,,,,,,,,,,,,,360  억원,코스닥 1473위,8610587,500원  l  1주,8610587,228341,2.65%,N/A  l  N/A,"5,430  l  3,650",19.53배  l  214원,N/A  l  N/A,"0.78배  l  5,393원",,88.07배,-0.21%,086060,,,,,,,,
현대약품,4150.0,65.0,+1.59%,4130.0,4135.0,56767.0,234.0,70991.0,23-08-21,현대약품,004310,,,,,,,,,,,,,,,,,"6,575  억원",코스피 281위,47028210,500원  l  1주,47028210,2715675,5.77%,N/A  l  N/A,"19,600  l  12,920",75.98배  l  184원,N/A  l  N/A,"0.63배  l  22,185원",,88.07배,-0.14%,005250,2.15%,,,,,,,
일동홀딩스,10300.0,160.0,+1.58%,10280.0,10290.0,88683.0,921.0,81192.0,23-08-21,일동홀딩스,000230,,,,,,,,,,,,,,,,,"2,957  억원",코스피 493위,18586811,500원  l  1주,18586811,188182,1.01%,N/A  l  N/A,"26,250  l  14,660",39.00배  l  408원,N/A  l  N/A,"1.18배  l  13,533원",,88.07배,-0.21%,102460,0.94%,,,,,,,
휴메딕스 *,40250.0,600.0,+1.51%,40500.0,40550.0,85550.0,3415.0,84372.0,23-08-21,휴메딕스,200670,,,,,,,,,,,,,,,,,555  억원,코스닥 1256위,8180000,500원  l  1주,8180000,105645,1.29%,N/A  l  N/A,"11,800  l  5,500",88.18배  l  77원,N/A  l  N/A,"1.06배  l  6,400원",,88.07배,-0.21%,238200,,,,,,,,
진바이오텍 *,4180.0,60.0,+1.46%,4185.0,4190.0,49636.0,207.0,69429.0,23-08-21,진바이오텍,086060,,,,,,,,,,,,,,,,,"3,748  억원",코스닥 196위,29604102,500원  l  1주,29604102,167704,0.57%,N/A  l  N/A,"27,500  l  10,000",N/A  l  -280원,N/A  l  N/A,"4.04배  l  3,132원",,88.07배,-0.14%,047920,,,,,,,,
녹십자홀딩스,13970.0,200.0,+1.45%,13990.0,14000.0,46737.0,654.0,50991.0,23-08-21,녹십자홀딩스,005250,,,,,,,,,,,,,,,,,"5,427  억원",코스피 320위,8614708,"5,000원  l  1주",8614708,1855039,21.53%,"4.00매수  l  73,571","73,700  l  46,208","27.83배  l  2,264원","19.00배  l  3,246원","0.80배  l  78,795원",,88.07배,-0.14%,170900,1.09%,,,,,,,
이연제약,15920.0,220.0,+1.40%,15930.0,15940.0,17146.0,272.0,39170.0,23-08-21,이연제약,102460,,,,,,,,,,,,,,,,,885  억원,코스닥 929위,12406056,500원  l  1주,12406056,170457,1.37%,"4.00매수  l  20,300","19,600  l  6,930","N/A  l  -2,217원",N/A  l  N/A,"3.73배  l  1,913원",,88.07배,-0.14%,115180,,,,,,,,
비피도 *,6790.0,90.0,+1.34%,6800.0,6850.0,13596.0,93.0,9438.0,23-08-21,비피도,238200,,,,,,,,,,,,,,,,,"3,588  억원",코스닥 212위,64185876,100원  l  1주,64185876,2950538,4.60%,N/A  l  N/A,"7,656  l  5,100",N/A  l  -103원,N/A  l  N/A,6.53배  l  856원,,88.07배,-0.21%,041960,,,,,,,,
HLB제약 *,12670.0,160.0,+1.28%,12640.0,12710.0,131285.0,1672.0,206428.0,23-08-21,HLB제약,047920,,,,,,,,,,,,,,,,,730  억원,코스닥 1073위,54802263,100원  l  1주,54802263,415766,0.76%,N/A  l  N/A,"1,725  l  1,085",19.59배  l  68원,N/A  l  N/A,1.96배  l  681원,,88.07배,-0.14%,359090,,,,,,,,
동아에스티,63200.0,800.0,+1.28%,63300.0,63400.0,31322.0,1976.0,71287.0,23-08-21,동아에스티,170900,5002.0,208.0,295.0,4.15,5.9,,,,,366.0,183.27,,,,,,725  억원,코스피 979위,1180940,"1,000원  l  1주",1180940,0,0.00%,"4.00매수  l  85,053","65,000  l  48,717","47.09배  l  1,304원","47.00배  l  1,320원","2.22배  l  27,596원",,88.07배,-0.14%,000105,0.67%,,,,,,,
큐리언트 *,7180.0,90.0,+1.27%,7200.0,7210.0,21130.0,152.0,42949.0,23-08-21,큐리언트,115180,788.0,-204.0,-230.0,-25.87,-29.13,,,,,-272.0,-354.48,,,,,,"6조  8,602  억원",코스피 52위,78313250,500원  l  1주,78313250,5805930,7.41%,"4.00매수  l  116,250","103,000  l  50,900","N/A  l  -1,361원",-154.00배  l  -568원,"21.69배  l  4,038원",,88.07배,-0.14%,326030,,,,,,,,
코미팜 *,5610.0,70.0,+1.26%,5600.0,5620.0,193866.0,1099.0,206089.0,23-08-21,코미팜,041960,871,42,-,4.82,,,,,,-15,-357.55,,,,,,"1,054  억원",코스닥 800위,20628000,500원  l  1주,20628000,315806,1.53%,"4.00매수  l  7,575","6,230  l  3,795",N/A  l  -759원,-55.00배  l  -93원,"2.47배  l  2,069원",,88.07배,-0.14%,222040,,,,,,,,
씨엔알리서치 *,1334.0,16.0,+1.21%,1332.0,1334.0,183503.0,245.0,183254.0,23-08-21,씨엔알리서치,359090,,,,,,,,,,,,,,,,,"1,442  억원",코스닥 607위,9731373,500원  l  1주,9731373,323303,3.32%,N/A  l  N/A,"26,300  l  13,130",,N/A  l  N/A,,,88.07배,-0.14%,065660,,,,N/A  l  -381원,"1.23배  l  12,052원",,,
